Id,Score
1323432,2
1137299,4
1459366,4
931601,4
1311995,4
1329367,5
1202998,3
1157360,4
1319273,4
1680224,3
559834,1
1593714,4
559714,4
1579895,5
170262,4
606665,3
1488972,2
226579,4
747090,4
679814,5
744033,5
1355058,4
39326,3
307162,5
874876,2
746864,3
1303851,3
1523193,4
419357,5
654575,2
1040415,4
653145,3
207510,4
703629,4
1420976,4
1661302,2
68933,4
1187252,5
1640310,4
1057145,3
1245419,3
769699,4
1642855,2
642467,1
1347541,4
1494296,4
580436,1
638691,2
166038,2
1085081,4
1352751,5
272285,5
692423,4
117593,4
381750,4
1217959,4
1413467,5
1126529,3
529253,3
158189,3
137048,3
1071343,4
799144,3
1155102,5
1502775,5
68252,4
1106494,2
1635344,3
1591680,3
326582,5
919601,4
1599825,3
208323,4
170231,4
1534224,3
723163,4
980082,4
564026,4
537846,3
213644,4
1533453,2
636887,4
865638,4
78738,4
147227,4
1201864,5
736154,4
1070403,3
1097917,3
1669163,4
1603822,3
1199154,4
228385,4
1632561,5
1671761,4
1336994,2
483493,3
1217603,3
839185,4
488970,4
1232825,4
308502,4
1270530,3
1580455,4
76275,2
1550069,4
1597240,4
17751,3
816229,3
234222,3
919709,4
1666919,4
1663602,4
808032,4
731440,3
102820,3
1431909,5
604570,3
541202,4
1160833,4
140092,2
1451170,4
63225,3
82110,3
1481988,4
1012166,3
793299,4
899856,3
463711,3
987013,3
887752,3
598987,4
1374412,2
409741,3
223858,3
1629372,3
594532,1
1533089,3
1387573,5
1082050,5
1674838,5
690744,4
514093,3
1581821,2
882897,4
1286679,4
9427,4
328038,4
1564635,3
448832,4
1563639,5
393954,5
903300,4
787647,4
1471375,4
917394,4
770435,4
176166,3
361469,4
1499095,4
548112,4
1488652,3
1027641,3
1685842,3
1018661,4
812744,4
1325147,3
390265,3
1169777,4
1558835,4
1374536,5
796136,4
346098,3
1233087,2
179151,3
1275362,4
920278,2
733850,5
1533117,4
410220,3
1055979,4
1182465,2
527911,4
1639161,3
430698,4
1163568,3
1125241,3
951316,2
496233,5
273309,4
182003,3
1378733,5
215482,4
1532289,3
1054631,4
396362,4
990319,5
1445695,4
649248,5
1008423,4
856502,4
108142,5
237271,3
1180409,3
807335,4
1683864,4
61602,3
753132,4
605479,3
1601567,4
987278,5
1177846,5
313556,5
265397,3
247104,4
721006,3
960380,3
788175,4
634310,4
339265,2
1085942,4
846629,5
1597065,4
1291667,4
1319299,5
797995,4
983613,3
1233526,4
494830,3
1692034,4
1265974,4
952055,4
1676311,4
399513,3
1591312,4
1266069,5
642580,4
1061414,2
442717,3
1502709,4
1011772,4
390255,3
636967,3
1002378,4
1206381,2
1078346,3
236456,4
243899,3
1108162,3
476296,4
409244,4
1427660,3
1223179,3
991375,4
978089,3
902826,5
509754,4
699474,2
324432,3
1307849,3
46445,4
943719,3
1341482,3
248620,5
267594,4
1310573,3
424099,2
491020,4
347803,4
457710,3
453269,5
418976,3
332390,4
1047526,3
334175,3
403650,2
185979,3
1640633,3
1487796,3
865739,4
1579934,2
304506,4
1462620,4
1583520,5
981247,3
549897,5
415228,4
798058,3
1520861,4
410091,3
156104,3
178415,4
253608,4
541569,2
300939,4
331346,4
587454,5
28463,3
678445,3
1233895,3
1135354,4
176421,3
713438,3
1368674,5
623263,5
1606056,4
1690032,4
999715,4
584050,3
1443359,3
1364706,3
685626,2
1270987,4
462660,4
1049380,4
1187194,5
1635256,5
1169341,5
381033,2
1523416,5
847028,4
1325519,2
627833,5
646975,4
401184,5
1521754,5
1425400,4
1508359,4
425719,3
1060785,2
638345,3
1416165,4
1177172,4
1026975,2
1483237,2
694518,4
761478,3
203990,4
1321479,3
18239,3
562609,4
151120,5
220699,5
994494,3
805381,5
1046186,4
927171,3
1439330,4
586939,2
687961,3
499472,5
718057,3
783110,1
253998,4
1117552,3
1097814,4
403072,4
793686,3
1290874,4
1562945,5
663773,4
1192069,4
1390554,3
534336,1
768340,3
1564703,4
1429859,5
